,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
32,Central Business District,49.28124785281073,-123.11484604569023,SEPHORA,49.284091751548736,-123.11720430855082,Cosmetics Shop
33,Central Business District,49.28124785281073,-123.11484604569023,Fanny Bay Oyster Bar,49.27860106769942,-123.1144109990253,Seafood Restaurant
34,Central Business District,49.28124785281073,-123.11484604569023,Disney store,49.281689,-123.11985,Toy / Game Store
35,Central Business District,49.28124785281073,-123.11484604569023,Cartems Donuterie,49.283833446719726,-123.1135544398471,Donut Shop
36,Central Business District,49.28124785281073,-123.11484604569023,Black Rice Izakaya,49.278541434016475,-123.11448809278369,Restaurant
37,Central Business District,49.28124785281073,-123.11484604569023,Glowbal,49.28160784713172,-123.11695431743689,Restaurant
38,Central Business District,49.28124785281073,-123.11484604569023,Hawksworth Restaurant,49.28336228267866,-123.11946181255522,Lounge
39,Central Business District,49.28124785281073,-123.11484604569023,Japadog,49.280271906961346,-123.11825983307145,Hot Dog Joint
40,Central Business District,49.28124785281073,-123.11484604569023,Chambar,49.279925416078164,-123.1100781115385,Belgian Restaurant
41,Central Business District,49.28124785281073,-123.11484604569023,La Taqueria,49.2830218479258,-123.11042386683688,Taco Place
42,Central Business District,49.28124785281073,-123.11484604569023,Nemesis Coffee,49.28259043571836,-123.11011993958962,Coffee Shop
43,Central Business District,49.28124785281073,-123.11484604569023,Meat & Bread,49.2826459299748,-123.10949864447797,Sandwich Place
44,Central Business District,49.28124785281073,-123.11484604569023,Paramount Fine Foods,49.280451539138795,-123.11858600825325,Lebanese Restaurant
45,Central Business District,49.28124785281073,-123.11484604569023,The Poke Guy,49.28393736225851,-123.11216716613504,Poke Place
46,Central Business District,49.28124785281073,-123.11484604569023,Revolver,49.2831867506594,-123.10928769992123,Coffee Shop
47,Central Business District,49.28124785281073,-123.11484604569023,Hotel Blu,49.278342669044825,-123.11444104804278,Hotel
48,Central Business District,49.28124785281073,-123.11484604569023,PureBread,49.282422416796415,-123.10920307592875,Bakery
49,Central Business District,49.28124785281073,-123.11484604569023,Commodore Ballroom,49.28068562197917,-123.12050972144668,Concert Hall
50,Central Business District,49.28124785281073,-123.11484604569023,MacLeod's Books,49.28349534177548,-123.1128127453969,Bookstore
51,Central Business District,49.28124785281073,-123.11484604569023,The Dirty Apron Cooking School,49.28069252156226,-123.1093934542754,Trade School
52,Central Business District,49.28124785281073,-123.11484604569023,Homer St. Cafe and Bar,49.278591060474405,-123.11838476992322,Restaurant
53,Central Business District,49.28124785281073,-123.11484604569023,Orpheum Theatre,49.28010297415788,-123.12018430593969,Concert Hall
54,Central Business District,49.28124785281073,-123.11484604569023,Jam Cafe,49.280398288146756,-123.10983626871001,Breakfast Spot
55,Central Business District,49.28124785281073,-123.11484604569023,New Amsterdam Cafe,49.28289691979302,-123.11006472134046,Café
56,Central Business District,49.28124785281073,-123.11484604569023,Peaceful Restaurant,49.28292966132952,-123.11542775031258,Chinese Restaurant
57,Central Business District,49.28124785281073,-123.11484604569023,Vancouver Art Gallery,49.28282718363111,-123.12045708766203,Art Gallery
58,Central Business District,49.28124785281073,-123.11484604569023,ZAC•ZAC Japanese Curry House,49.28057704223249,-123.118815107846,Japanese Curry Restaurant
59,Central Business District,49.28124785281073,-123.11484604569023,Harry Rosen,49.2836644136945,-123.11735788382234,Men's Store
60,Central Business District,49.28124785281073,-123.11484604569023,Five Guys,49.2810797,-123.119073,Burger Joint
61,Central Business District,49.28124785281073,-123.11484604569023,Vancouver Lookout,49.28463166675836,-123.11233162879944,Scenic Lookout
62,Central Business District,49.28124785281073,-123.11484604569023,Pholicious,49.284309027597644,-123.11228960276179,Vietnamese Restaurant
63,Central Business District,49.28124785281073,-123.11484604569023,CF Pacific Centre,49.282744956530095,-123.11851615541963,Shopping Mall
64,Central Business District,49.28124785281073,-123.11484604569023,Pizzeria Ludica,49.279695405260796,-123.10839660012886,Pizza Place
65,Central Business District,49.28124785281073,-123.11484604569023,Wedgewood Hotel,49.28216333727451,-123.12223713622552,Hotel
66,Central Business District,49.28124785281073,-123.11484604569023,Timbertrain Coffee Roasters,49.28385800135924,-123.10962180383702,Coffee Shop
67,Central Business District,49.28124785281073,-123.11484604569023,Vegan Pudding & Co.,49.28387349939742,-123.1123363859816,Vegetarian / Vegan Restaurant
68,Central Business District,49.28124785281073,-123.11484604569023,BC Place,49.27639816615645,-123.1131737754132,Stadium
69,Central Business District,49.28124785281073,-123.11484604569023,The Fairmont Hotel Vancouver,49.283805486323196,-123.120944,Hotel
70,Central Business District,49.28124785281073,-123.11484604569023,Hyatt Regency Vancouver,49.284933576325365,-123.12040717326492,Hotel
71,Central Business District,49.28124785281073,-123.11484604569023,Trees Organic Coffee,49.28492513095138,-123.11446725654999,Café
72,Central Business District,49.28124785281073,-123.11484604569023,Dutil Denim,49.28373098438669,-123.10924095520078,Boutique
73,Central Business District,49.28124785281073,-123.11484604569023,Pourhouse,49.284221965846754,-123.1083297558511,Restaurant
74,Central Business District,49.28124785281073,-123.11484604569023,Nero Belgian Waffle Bar,49.278451,-123.122024,Dessert Shop
75,Central Business District,49.28124785281073,-123.11484604569023,Rogers Arena,49.277922968833245,-123.10872265722732,Hockey Arena
76,Central Business District,49.28124785281073,-123.11484604569023,Victoria's Secret,49.28337166041721,-123.12249106575216,Lingerie Store
77,Central Business District,49.28124785281073,-123.11484604569023,Dublin Calling,49.28024548406235,-123.1213076549563,Pub
78,Central Business District,49.28124785281073,-123.11484604569023,Steamworks Brewing Company,49.28510690657561,-123.11144729314218,Brewery
79,Central Business District,49.28124785281073,-123.11484604569023,La Taqueria Pinche Taco Shop,49.28515757900479,-123.11818075140286,Taco Place
80,Central Business District,49.28124785281073,-123.11484604569023,Pizza Garden,49.28008603070225,-123.12106675552032,Pizza Place
81,Central Business District,49.28124785281073,-123.11484604569023,Tacofino,49.276433,-123.119389,Taco Place
82,Central Business District,49.28124785281073,-123.11484604569023,Bacchus Lounge,49.282187144640716,-123.12233347636403,French Restaurant
83,Central Business District,49.28124785281073,-123.11484604569023,Skoah,49.27687025872982,-123.1199196210468,Spa
84,Central Business District,49.28124785281073,-123.11484604569023,Miku Restaurant,49.28671261,-123.11204401,Japanese Restaurant
85,Central Business District,49.28124785281073,-123.11484604569023,The Parlour,49.27673436926522,-123.12012815066782,Italian Restaurant
86,Central Business District,49.28124785281073,-123.11484604569023,Tiffany & Co.,49.2842568,-123.1217898,Jewelry Store
87,Central Business District,49.28124785281073,-123.11484604569023,Rocky Mountain Chocolate Factory,49.28362580682297,-123.12330593304087,Dessert Shop
88,Central Business District,49.28124785281073,-123.11484604569023,Robson Square,49.281880886701984,-123.12367137102376,Plaza
89,Central Business District,49.28124785281073,-123.11484604569023,Mink Chocolate and Coffee,49.28683087483629,-123.11562992705996,Dessert Shop
90,Central Business District,49.28124785281073,-123.11484604569023,Chipotle Mexican Grill,49.28155,-123.12095,Mexican Restaurant
91,Central Business District,49.28124785281073,-123.11484604569023,The Fairmont Waterfront,49.28722057168015,-123.11377415456752,Hotel
92,Central Business District,49.28124785281073,-123.11484604569023,Tacofino Cantina,49.27981581084722,-123.12367275029091,Food Truck
93,Central Business District,49.28124785281073,-123.11484604569023,Notch 8,49.28399442828066,-123.12060988379666,Restaurant
94,Central Business District,49.28124785281073,-123.11484604569023,BC Sports Hall of Fame,49.27743820782065,-123.11230514791671,Museum
95,Central Business District,49.28124785281073,-123.11484604569023,The Keg Steakhouse + Bar - Yaletown,49.276623062726536,-123.11944195607948,Restaurant
96,Central Business District,49.28124785281073,-123.11484604569023,Small Victory Bakery,49.27651218171028,-123.12133631376243,Bakery
97,Central Business District,49.28124785281073,-123.11484604569023,Bella Gelateria,49.28769718513222,-123.11634386060418,Ice Cream Shop
98,Central Business District,49.28124785281073,-123.11484604569023,Blue Water Cafe + Raw Bar,49.27616536589696,-123.12110447015738,Seafood Restaurant
99,Central Business District,49.28124785281073,-123.11484604569023,Cactus Club Cafe,49.285698787096095,-123.11924946282534,American Restaurant
100,Central Business District,49.28124785281073,-123.11484604569023,YYoga Downtown Flow,49.28223329128768,-123.1242174200977,Yoga Studio
101,Central Business District,49.28124785281073,-123.11484604569023,Indigo,49.28391782500941,-123.12372330286925,Bookstore
102,Central Business District,49.28124785281073,-123.11484604569023,Granville Square,49.2865011087249,-123.11262911407391,Plaza
103,Central Business District,49.28124785281073,-123.11484604569023,Hudson House Trading Co,49.28440188367509,-123.10926393873486,Gift Shop
104,Central Business District,49.28124785281073,-123.11484604569023,Sutton Place Hotel Vancouver,49.28264004904225,-123.12387529266849,Hotel
105,Central Business District,49.28124785281073,-123.11484604569023,PRADO Cafe,49.28190806572192,-123.10729506582126,Coffee Shop
106,Central Business District,49.28124785281073,-123.11484604569023,Meat & Bread,49.28702890977933,-123.11861855376539,Sandwich Place
107,Central Business District,49.28124785281073,-123.11484604569023,Vogue Theatre,49.279807197020915,-123.12159652755608,Performing Arts Venue
108,Central Business District,49.28124785281073,-123.11484604569023,Thierry Chocolaterie Patisserie,49.2848919057975,-123.12295083232155,Dessert Shop
109,Central Business District,49.28124785281073,-123.11484604569023,The Vancouver Club,49.287333255617725,-123.11541317847865,Building
110,Central Business District,49.28124785281073,-123.11484604569023,Catch 122,49.28217120126188,-123.10797261534962,Café
111,Central Business District,49.28124785281073,-123.11484604569023,Ignite Pizzeria,49.28471556933342,-123.11109238305903,Pizza Place
112,Central Business District,49.28124785281073,-123.11484604569023,Fairmont Pacific Rim,49.28822730314015,-123.11693176354468,Hotel
113,Central Business District,49.28124785281073,-123.11484604569023,The Mexican,49.27877806840367,-123.12395347847574,Mexican Restaurant
114,Central Business District,49.28124785281073,-123.11484604569023,Meet in Gastown,49.28330851123337,-123.10484811523834,Vegetarian / Vegan Restaurant
115,Central Business District,49.28124785281073,-123.11484604569023,Revolucion Cigars and Gifts,49.276098,-123.120047,Smoke Shop
116,Central Business District,49.28124785281073,-123.11484604569023,Le Crocodile Restaurant,49.28265806764619,-123.12528669834137,French Restaurant
117,Central Business District,49.28124785281073,-123.11484604569023,Angus T,49.275967,-123.119894,Bakery
118,Central Business District,49.28124785281073,-123.11484604569023,JJ Bean,49.287473,-123.116787,Coffee Shop
119,Central Business District,49.28124785281073,-123.11484604569023,Tacofino Taco Bar,49.282875148011186,-123.10473548656498,Taco Place
120,Central Business District,49.28124785281073,-123.11484604569023,Minami,49.275341077987406,-123.12085632170566,Japanese Restaurant
121,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Dunbar Theater,49.24561315512162,-123.18542830775695,Indie Movie Theater
122,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Handi Cuisine of India,49.24675755239661,-123.18525036850964,Indian Restaurant
123,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Dunbar Community Centre,49.24354640195617,-123.18562235162956,Gym
124,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Stong's Market,49.2457976131043,-123.18498586261883,Grocery Store
125,Dunbar-Southlands,49.245016207566785,-123.18509528032905,TD Canada Trust,49.2488774,-123.1850313,Bank
126,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Subway,49.246301522296704,-123.1850144327346,Sandwich Place
127,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Cheshire Cheese Inn,49.245436823336554,-123.18526962240448,Restaurant
128,Dunbar-Southlands,49.245016207566785,-123.18509528032905,RBC Royal Bank,49.24893077497361,-123.185364393851,Bank
129,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Shoppers Drug Mart,49.247468,-123.18465,Pharmacy
130,Dunbar-Southlands,49.245016207566785,-123.18509528032905,London Drugs,49.245622125847966,-123.18496738752393,Pharmacy
131,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Dunbar Public House,49.246293911047175,-123.18548583884973,Pub
132,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Beauty Boutique by Shoppers Drug Mart,49.247703,-123.18486,Cosmetics Shop
133,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Starbucks,49.24648,-123.18542,Coffee Shop
134,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Sushi Inn,49.24682,-123.185225,Sushi Restaurant
135,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Balaclava Park,49.24512736409405,-123.17453417277176,Park
136,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Dunbar Village,49.24505057138824,-123.18773455100181,Neighborhood
137,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Butter Baked Goods Ltd,49.247891,-123.18512,Bakery
138,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Wild Sushi,49.248291,-123.185019,Sushi Restaurant
139,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Chaldecott Park,49.248764836871615,-123.19147102280755,Park
140,Dunbar-Southlands,49.245016207566785,-123.18509528032905,Bigsby The Bakehouse,49.242538936623845,-123.17397923461648,Bakery
141,Fairview,49.26428322937534,-123.12892679676061,CRESCENT nail and spa,49.26331681687313,-123.12804400920868,Nail Salon
142,Fairview,49.26428322937534,-123.12892679676061,Gyu-Kaku Japanese BBQ,49.263361993540684,-123.1255335332362,BBQ Joint
143,Fairview,49.26428322937534,-123.12892679676061,Salmon 'n' Bannock,49.26331681687313,-123.12971234321593,Restaurant
144,Fairview,49.26428322937534,-123.12892679676061,Charleson Park,49.26688043290664,-123.124680519104,Park
145,Fairview,49.26428322937534,-123.12892679676061,Wild Birds Unlimited,49.263439800248655,-123.13382670774912,Pet Store
146,Fairview,49.26428322937534,-123.12892679676061,Finlandia Pharmacy,49.26350975654056,-123.12922695835749,Pharmacy
147,Fairview,49.26428322937534,-123.12892679676061,Starbucks,49.266451,-123.132132,Coffee Shop
148,Fairview,49.26428322937534,-123.12892679676061,Broadway Camera,49.26359,-123.127947,Camera Store
149,Fairview,49.26428322937534,-123.12892679676061,"Cheesecake, Etc.",49.266446012691404,-123.13866696135571,Dessert Shop
150,Fairview,49.26428322937534,-123.12892679676061,Sparkle Nails,49.2635013827622,-123.13192865209075,Salon / Barbershop
151,Fairview,49.26428322937534,-123.12892679676061,Seawall Yaletown,49.271251,-123.128173,Waterfront
152,Fairview,49.26428322937534,-123.12892679676061,GoodLife Fitness Vancouver Hemlock and 8th,49.26478,-123.136546,Gym
153,Fairview,49.26428322937534,-123.12892679676061,Stanley Industrial Alliance Stage (Arts Club Theatre Company),49.2613945047059,-123.13844463331534,Theater
154,Fairview,49.26428322937534,-123.12892679676061,Granville Island Water Park,49.269478608871616,-123.13471399394355,Water Park
155,Fairview,49.26428322937534,-123.12892679676061,Granville Island Hotel,49.2697671,-123.1321867,Hotel
156,Fairview,49.26428322937534,-123.12892679676061,Beau Photo Supplies Inc.,49.26598448205958,-123.13929334517245,Camera Store
157,Fairview,49.26428322937534,-123.12892679676061,Brisa Spa,49.267543,-123.135351,Spa
158,Fairview,49.26428322937534,-123.12892679676061,Beaucoup Bakery,49.2664033736241,-123.14074768329154,Bakery
159,Fairview,49.26428322937534,-123.12892679676061,Granville Loop Park,49.26722212630528,-123.13464949183103,Park
160,Fairview,49.26428322937534,-123.12892679676061,Performance Works Theatre,49.26911759488219,-123.13201933082645,Theater
161,Fairview,49.26428322937534,-123.12892679676061,George Wainborn Park,49.272382878621656,-123.12943339347841,Park
162,Fairview,49.26428322937534,-123.12892679676061,Indigo,49.263174171729545,-123.13868144346168,Bookstore
163,Fairview,49.26428322937534,-123.12892679676061,Café Salade de Fruits,49.2653751495079,-123.13996762246784,French Restaurant
164,Fairview,49.26428322937534,-123.12892679676061,Rogue Kitchen & Wetbar,49.2630892687977,-123.11772286891937,Bar
165,Fairview,49.26428322937534,-123.12892679676061,Banana Leaf,49.263215295553735,-123.12245965003966,Malay Restaurant
166,Fairview,49.26428322937534,-123.12892679676061,Off the Tracks Espresso Bar & Bistro,49.270269676944494,-123.13407704197316,Café
167,Fairview,49.26428322937534,-123.12892679676061,Caffè Cittadella,49.264825384675746,-123.11734283669146,Café
168,Fairview,49.26428322937534,-123.12892679676061,The Farmer’s Apprentice,49.26625367954802,-123.13954061112955,Restaurant
169,Fairview,49.26428322937534,-123.12892679676061,Choklit Park,49.265328169837105,-123.13019336774444,Park
170,Fairview,49.26428322937534,-123.12892679676061,Deja Brew,49.26358287175376,-123.12525451183319,Coffee Shop
171,Fairview,49.26428322937534,-123.12892679676061,David Lam Park,49.2724665529135,-123.12386556302295,Park
172,Fairview,49.26428322937534,-123.12892679676061,Kaya Malay Bistro,49.2635118489938,-123.12818043679115,Asian Restaurant
173,Fairview,49.26428322937534,-123.12892679676061,SushiVan,49.262946438074394,-123.13830614089966,Sushi Restaurant
174,Fairview,49.26428322937534,-123.12892679676061,Paul's Place Omelettery Restaurant,49.265958398188204,-123.13866555690765,Breakfast Spot
175,Fairview,49.26428322937534,-123.12892679676061,Suika,49.263505856014774,-123.14164280891418,Japanese Restaurant
176,Fairview,49.26428322937534,-123.12892679676061,Paper-Ya,49.271750908891455,-123.13557037102818,Stationery Store
177,Fairview,49.26428322937534,-123.12892679676061,Granville Island Brewing,49.270563060742944,-123.13566692588405,Brewery
178,Fairview,49.26428322937534,-123.12892679676061,Williams-Sonoma,49.25971045384434,-123.13888069707461,Kitchen Supply Store
179,Fairview,49.26428322937534,-123.12892679676061,Whole Foods Market,49.264017781723304,-123.11530270683869,Grocery Store
180,Fairview,49.26428322937534,-123.12892679676061,Lin's Chinese Cuisine and Tea House,49.26376315812724,-123.13966333866121,Chinese Restaurant
181,Fairview,49.26428322937534,-123.12892679676061,Corduroy Pie Company,49.257052576172846,-123.12126486471963,Pizza Place
182,Fairview,49.26428322937534,-123.12892679676061,Dockside Restaurant,49.26934778168365,-123.13073066767618,Seafood Restaurant
183,Fairview,49.26428322937534,-123.12892679676061,Small Victory,49.25827550594759,-123.13857972621918,Bakery
184,Fairview,49.26428322937534,-123.12892679676061,Sutcliffe Park,49.26919121717249,-123.13496055867284,Park
185,Fairview,49.26428322937534,-123.12892679676061,Dynasty Seafood Restaurant 皇朝海鮮酒家,49.26369279404139,-123.121258020401,Chinese Restaurant
186,Fairview,49.26428322937534,-123.12892679676061,Elysian Coffee,49.263168,-123.117331,Coffee Shop
187,Fairview,49.26428322937534,-123.12892679676061,Royal Seoul House Korean Restaurant,49.263635382415934,-123.1316354870796,Korean Restaurant
188,Fairview,49.26428322937534,-123.12892679676061,JJ Bean,49.27227108723158,-123.13502883625102,Coffee Shop
189,Fairview,49.26428322937534,-123.12892679676061,Heirloom Vegetarian Restaurant,49.26091525659259,-123.13925832509993,Vegetarian / Vegan Restaurant
190,Fairview,49.26428322937534,-123.12892679676061,Granville Island Tea Company,49.272352935306166,-123.1349112012202,Tea Room
191,Fairview,49.26428322937534,-123.12892679676061,Peaceful Restaurant 和平饭店,49.26307526580492,-123.11604917049407,Chinese Restaurant
192,Fairview,49.26428322937534,-123.12892679676061,The Stable House,49.2597465603877,-123.13930056614679,Restaurant
193,Fairview,49.26428322937534,-123.12892679676061,B-Bin,49.25782698101887,-123.12698129817278,Japanese Restaurant
194,Fairview,49.26428322937534,-123.12892679676061,The Sandbar Seafood Restaurant,49.272188143299296,-123.13391772423387,Seafood Restaurant
195,Fairview,49.26428322937534,-123.12892679676061,Urban Barn,49.264856842629264,-123.13851581374189,Furniture / Home Store
196,Fairview,49.26428322937534,-123.12892679676061,Masa Japanese Restaurant,49.26342120932526,-123.13653621279559,Japanese Restaurant
197,Fairview,49.26428322937534,-123.12892679676061,The Wicklow Public House,49.268680606178656,-123.1188597165053,Pub
198,Fairview,49.26428322937534,-123.12892679676061,Grapes & Soda,49.266246914193246,-123.13966794294305,Restaurant
199,Fairview,49.26428322937534,-123.12892679676061,Hokkaido Ramen Santouka,49.26307526580492,-123.11680018901825,Ramen Restaurant
200,Fairview,49.26428322937534,-123.12892679676061,Granville Island Kids Market,49.27034055276284,-123.13601474751616,Toy / Game Store
201,Fairview,49.26428322937534,-123.12892679676061,A Taste of Vietnam,49.263278308811046,-123.12716156244277,Vietnamese Restaurant
202,Fairview,49.26428322937534,-123.12892679676061,EQ3,49.26530004751511,-123.13854205618041,Furniture / Home Store
203,Fairview,49.26428322937534,-123.12892679676061,Granville Island Stage (Arts Club Theatre Company),49.272340680845,-123.13436979818775,Theater
204,Fairview,49.26428322937534,-123.12892679676061,Granville Island Toy Company,49.270366379736565,-123.13619761564543,Toy / Game Store
205,Fairview,49.26428322937534,-123.12892679676061,Book Warehouse,49.263265238186946,-123.11831532735566,Bookstore
206,Fairview,49.26428322937534,-123.12892679676061,Pottery Barn,49.262543257619,-123.13845105230553,Furniture / Home Store
207,Fairview,49.26428322937534,-123.12892679676061,Breakfast Table,49.25854158800807,-123.13858240842819,Breakfast Spot
208,Fairview,49.26428322937534,-123.12892679676061,Rain Hair Salon,49.26957954141049,-123.14006402684119,Cosmetics Shop
209,Fairview,49.26428322937534,-123.12892679676061,The Keg Steakhouse + Bar - Granville Island,49.271196215786325,-123.13567961839738,Restaurant
210,Fairview,49.26428322937534,-123.12892679676061,Body Energy Club,49.26100706323804,-123.11703809047192,Food
211,Fairview,49.26428322937534,-123.12892679676061,Cactus Club Cafe,49.263445643623356,-123.13953459262846,American Restaurant
212,Fairview,49.26428322937534,-123.12892679676061,Opus Art Supplies,49.269978569348524,-123.13283132180096,Arts & Crafts Store
213,Fairview,49.26428322937534,-123.12892679676061,Granville Liquor,49.26220815248778,-123.13864561833022,Liquor Store
214,Fairview,49.26428322937534,-123.12892679676061,Raga Restaurant,49.2636633880796,-123.13074231147766,Indian Restaurant
215,Fairview,49.26428322937534,-123.12892679676061,Anthropologie,49.25946706676094,-123.13863434661786,Women's Store
216,Fairview,49.26428322937534,-123.12892679676061,The Lobster Man,49.27138843052715,-123.13649370874262,Fish Market
217,Fairview,49.26428322937534,-123.12892679676061,Dose Espresso Bar,49.26374740497521,-123.13920199871063,Coffee Shop
218,Fairview,49.26428322937534,-123.12892679676061,Donair Spot,49.26318028815377,-123.12226116657259,Falafel Restaurant
219,Fairview,49.26428322937534,-123.12892679676061,Tony's Fish & Oyster Café,49.27067340588025,-123.1364017724991,Seafood Restaurant
220,Fairview,49.26428322937534,-123.12892679676061,Cactus Club Cafe,49.26340783580952,-123.11727494001389,American Restaurant
221,Fairview,49.26428322937534,-123.12892679676061,West Elm Market,49.25956049818269,-123.13898220362277,Furniture / Home Store
222,Fairview,49.26428322937534,-123.12892679676061,Bin 4,49.25903523645238,-123.13854485750198,Burger Joint
223,Fairview,49.26428322937534,-123.12892679676061,YYoga South Granville,49.26368861359006,-123.14161193616964,Yoga Studio
224,Fairview,49.26428322937534,-123.12892679676061,Heirloom Juice Co.,49.26024046008955,-123.13884170638671,Juice Bar
225,Fairview,49.26428322937534,-123.12892679676061,Vancouver Fish Co.,49.270529531999166,-123.13655760737413,Seafood Restaurant
226,Fairview,49.26428322937534,-123.12892679676061,Afghan Horsemen Restaurant,49.2694424333753,-123.13869119446346,Middle Eastern Restaurant
227,Fairview,49.26428322937534,-123.12892679676061,The Improv Centre - Vancouver TheatreSports League,49.27075027362135,-123.13656656403882,Comedy Club
228,Fairview,49.26428322937534,-123.12892679676061,Branas Mediterranean Grill,49.26851056326371,-123.11867818921722,Mediterranean Restaurant
229,Fairview,49.26428322937534,-123.12892679676061,liquids+solids,49.26348555183469,-123.14004421234131,Café
230,Fairview,49.26428322937534,-123.12892679676061,Stuart's Bakery,49.2723131836906,-123.13501887964111,Bakery
231,Fairview,49.26428322937534,-123.12892679676061,DeSerres,49.26384883076617,-123.13703158712094,Arts & Crafts Store
232,Fairview,49.26428322937534,-123.12892679676061,Mahony & Sons,49.26923829304955,-123.11866096512108,Irish Pub
233,Fairview,49.26428322937534,-123.12892679676061,Yanaki Sushi,49.26583664148601,-123.12211255834363,Sushi Restaurant
